match_type,match_value,item_code,confidence,mapping_basis
template_id,wordpress-takeover,WA-10,medium,CWE 미기재 템플릿. 키워드 근거: takeover/broken-auth
template_id,functions-php-disclosure,WA-05,medium,CWE 미기재 템플릿. 키워드 근거: debug/phpinfo
template_id,jetpack-stored-xss,WA-06,medium,CWE 미기재 템플릿. 키워드 근거: xss/cross-site-scripting
template_id,wordpress-emergency-script,WA-05,low,CWE 미기재 템플릿. 키워드 근거: installer-log/db-repair
template_id,wp-qwiz-online-xss,WA-06,medium,CWE 미기재 템플릿. 키워드 근거: xss/cross-site-scripting
template_id,wp-full-path-disclosure,WA-05,medium,CWE 미기재 템플릿. 키워드 근거: debug/phpinfo
template_id,wp-spot-premium-lfi,WA-15,medium,CWE 미기재 템플릿. 키워드 근거: lfi/file-inclusion
template_id,wordpress-xmlrpc-brute-force,WA-01,medium,CWE 미기재 템플릿. 키워드 근거: rce/code-execution
template_id,wp-security-hidden-login-exposure,WA-05,medium,CWE 미기재 템플릿. 키워드 근거: debug/phpinfo
template_id,wordpress-super-forms,WA-03,medium,CWE 미기재 템플릿. 키워드 근거: listing/indexing
template_id,wp-plugin-1-flashgallery-listing,WA-03,medium,CWE 미기재 템플릿. 키워드 근거: listing/indexing
template_id,wp-mega-theme,WA-06,medium,CWE 미기재 템플릿. 키워드 근거: xss/cross-site-scripting
template_id,wp-adivaha-xss,WA-06,medium,CWE 미기재 템플릿. 키워드 근거: xss/cross-site-scripting
template_id,wp-googlemp3-lfi,WA-15,medium,CWE 미기재 템플릿. 키워드 근거: lfi/file-inclusion
template_id,wpdm-cache-session,WA-16,medium,CWE 미기재 템플릿. 키워드 근거: session
template_id,wp-123contactform-plugin-listing,WA-03,medium,CWE 미기재 템플릿. 키워드 근거: listing/indexing
template_id,wpml-xss,WA-06,medium,CWE 미기재 템플릿. 키워드 근거: xss/cross-site-scripting
template_id,wp-sfwd-lms-listing,WA-03,medium,CWE 미기재 템플릿. 키워드 근거: listing/indexing
