match_type,match_value,item_code,confidence,mapping_basis
cwe_id,CWE-94,WA-01,high,코드 인젝션. 외부 입력이 코드로 실행되는 경로에 직접 대응
cwe_id,CWE-95,WA-01,high,eval 계열 인젝션. 상동
cwe_id,CWE-77,WA-01,high,명령어 삽입. 코드 인젝션 항목의 운영체제 명령 실행 유형
cwe_id,CWE-78,WA-01,high,OS 명령 실행. 상동
cwe_id,CWE-917,WA-01,high,표현식 언어 인젝션. 상동
cwe_id,CWE-1336,WA-01,high,서버사이드 템플릿 인젝션. 상동
cwe_id,CWE-90,WA-01,high,LDAP 인젝션. 항목 개요에 LDAP 인젝션이 명시됨
cwe_id,CWE-91,WA-01,high,XML 인젝션. 상동
cwe_id,CWE-502,WA-01,medium,역직렬화를 통한 코드 실행. 인젝션 유형은 아니나 결과가 동일
cwe_id,CWE-611,WA-01,medium,XXE. 항목 개요의 XML 인젝션 범위
cwe_id,CWE-89,WA-02,high,SQL 인젝션 항목에 직접 대응
cwe_id,CWE-564,WA-02,high,ORM 쿼리 인젝션. 상동
cwe_id,CWE-548,WA-03,high,디렉터리 인덱싱 항목에 직접 대응
cwe_id,CWE-548,WEB-04,high,웹 서비스 디렉터리 리스팅 방지 설정. 서버 설정 측면
cwe_id,CWE-209,WA-04,high,오류 메시지 노출. 에러 페이지 적용 미흡 항목
cwe_id,CWE-209,WEB-22,medium,에러 페이지 관리. 서버 설정 측면
cwe_id,CWE-200,WA-05,high,정보 누출 항목에 직접 대응
cwe_id,CWE-215,WA-05,high,디버그 정보 노출. 정보 누출 항목
cwe_id,CWE-497,WA-05,high,시스템 정보 노출. 상동
cwe_id,CWE-538,WA-05,high,파일·디렉터리 정보 노출. 상동
cwe_id,CWE-213,WA-05,medium,의도된 정보 노출. 상동
cwe_id,CWE-540,WA-05,high,소스 코드 노출
cwe_id,CWE-540,WEB-13,high,웹 서비스 설정 파일 노출 제한
cwe_id,CWE-532,WA-05,high,로그 파일을 통한 정보 노출
cwe_id,CWE-532,WEB-26,medium,로그 디렉터리 및 파일 권한 설정
cwe_id,CWE-79,WA-06,high,크로스사이트 스크립트 항목에 직접 대응
cwe_id,CWE-80,WA-06,high,상동
cwe_id,CWE-83,WA-06,high,상동
cwe_id,CWE-116,WA-06,medium,출력값 인코딩 미흡. XSS 항목의 조치 방법에 해당
cwe_id,CWE-352,WA-07,high,크로스사이트 요청 위조 항목에 직접 대응
cwe_id,CWE-918,WA-08,high,서버사이드 요청 위조 항목에 직접 대응
cwe_id,CWE-521,WA-09,high,약한 비밀번호 정책 항목에 직접 대응
cwe_id,CWE-521,WEB-02,medium,취약한 비밀번호 사용 제한. 서버 계정 측면
cwe_id,CWE-798,WA-09,high,하드코딩된 자격증명
cwe_id,CWE-798,WEB-01,medium,Default 관리자 계정명 변경
cwe_id,CWE-1391,WA-09,high,추측 가능한 자격증명. 상동
cwe_id,CWE-287,WA-10,high,불충분한 인증 절차 항목에 직접 대응
cwe_id,CWE-306,WA-10,high,필수 인증 누락. 상동
cwe_id,CWE-288,WA-10,high,대체 경로를 통한 인증 우회. 상동
cwe_id,CWE-290,WA-10,high,스푸핑을 통한 인증 우회. 상동
cwe_id,CWE-294,WA-10,medium,캡처·재전송 인증 우회. 상동
cwe_id,CWE-1390,WA-10,high,취약한 인증. 상동
cwe_id,CWE-862,WA-11,high,인가 누락. 불충분한 권한 검증 항목에 직접 대응
cwe_id,CWE-863,WA-11,high,잘못된 인가. 상동
cwe_id,CWE-285,WA-11,high,부적절한 인가. 상동
cwe_id,CWE-284,WA-11,high,부적절한 접근 통제. 상동
cwe_id,CWE-639,WA-11,high,IDOR. 상동
cwe_id,CWE-566,WA-11,high,키 기반 접근 통제 우회. 상동
cwe_id,CWE-269,WA-11,high,권한 관리 미흡으로 인한 권한 상승. 상동
cwe_id,CWE-266,WA-11,high,부적절한 권한 부여. 상동
cwe_id,CWE-264,WA-11,medium,권한·접근제어 상위 분류. 상동
cwe_id,CWE-425,WA-11,medium,강제 브라우징
cwe_id,CWE-425,WEB-14,medium,웹 서비스 경로 내 파일의 접근 통제
cwe_id,CWE-640,WA-12,high,취약한 비밀번호 복구 절차 항목에 직접 대응
cwe_id,CWE-620,WA-12,high,비밀번호 변경 시 검증 누락. 상동
cwe_id,CWE-841,WA-13,high,워크플로 순서 위반. 프로세스 검증 누락 항목
cwe_id,CWE-472,WA-13,medium,웹 파라미터 변조. 상동
cwe_id,CWE-807,WA-13,medium,신뢰할 수 없는 입력에 의존한 판단. 상동
cwe_id,CWE-434,WA-14,high,악성 파일 업로드 항목에 직접 대응
cwe_id,CWE-434,WEB-24,medium,별도의 업로드 경로 사용 및 권한 설정
cwe_id,CWE-22,WA-15,high,경로 조작을 통한 파일 다운로드 항목에 직접 대응
