match_type,match_value,vuln_type,priority
cwe_id,CWE-94,rce,10
cwe_id,CWE-95,rce,10
cwe_id,CWE-78,rce,10
cwe_id,CWE-77,rce,10
cwe_id,CWE-88,rce,10
cwe_id,CWE-917,rce,10
cwe_id,CWE-1336,rce,10
cwe_id,CWE-502,deserialization,10
cwe_id,CWE-89,sqli,10
cwe_id,CWE-564,sqli,10
cwe_id,CWE-79,xss,10
cwe_id,CWE-80,xss,10
cwe_id,CWE-83,xss,10
cwe_id,CWE-116,xss,10
cwe_id,CWE-352,csrf,10
cwe_id,CWE-918,ssrf,10
cwe_id,CWE-611,ssrf,10
cwe_id,CWE-287,auth_bypass,10
cwe_id,CWE-288,auth_bypass,10
cwe_id,CWE-290,auth_bypass,10
cwe_id,CWE-294,auth_bypass,10
cwe_id,CWE-306,auth_bypass,10
cwe_id,CWE-798,auth_bypass,10
cwe_id,CWE-1390,auth_bypass,10
cwe_id,CWE-521,auth_bypass,10
cwe_id,CWE-307,auth_bypass,10
cwe_id,CWE-640,auth_bypass,10
cwe_id,CWE-620,auth_bypass,10
cwe_id,CWE-384,auth_bypass,10
cwe_id,CWE-613,auth_bypass,10
cwe_id,CWE-22,path_traversal,10
cwe_id,CWE-23,path_traversal,10
cwe_id,CWE-24,path_traversal,10
cwe_id,CWE-35,path_traversal,10
cwe_id,CWE-36,path_traversal,10
cwe_id,CWE-73,path_traversal,10
cwe_id,CWE-98,path_traversal,10
cwe_id,CWE-99,path_traversal,10
cwe_id,CWE-552,path_traversal,10
cwe_id,CWE-434,file_upload,10
cwe_id,CWE-436,file_upload,10
cwe_id,CWE-601,open_redirect,10
cwe_id,CWE-200,info_disclosure,10
cwe_id,CWE-209,info_disclosure,10
cwe_id,CWE-213,info_disclosure,10
cwe_id,CWE-215,info_disclosure,10
cwe_id,CWE-497,info_disclosure,10
cwe_id,CWE-532,info_disclosure,10
cwe_id,CWE-538,info_disclosure,10
cwe_id,CWE-540,info_disclosure,10
cwe_id,CWE-548,info_disclosure,10
cwe_id,CWE-319,info_disclosure,10
cwe_id,CWE-311,info_disclosure,10
cwe_id,CWE-284,access_control,10
cwe_id,CWE-285,access_control,10
cwe_id,CWE-425,access_control,10
cwe_id,CWE-566,access_control,10
cwe_id,CWE-639,access_control,10
cwe_id,CWE-862,access_control,10
cwe_id,CWE-863,access_control,10
cwe_id,CWE-269,access_control,10
cwe_id,CWE-266,access_control,10
cwe_id,CWE-264,access_control,10
cwe_id,CWE-16,misconfig,10
cwe_id,CWE-276,misconfig,10
cwe_id,CWE-1188,misconfig,10
cwe_id,CWE-1021,misconfig,10
cwe_id,CWE-693,misconfig,10
cwe_id,CWE-650,misconfig,10
cwe_id,CWE-565,misconfig,10
cwe_id,CWE-614,misconfig,10
cwe_id,CWE-1004,misconfig,10
cwe_id,CWE-1275,misconfig,10
cwe_id,CWE-326,misconfig,10
cwe_id,CWE-327,misconfig,10
cwe_id,CWE-937,misconfig,10
cwe_id,CWE-1035,misconfig,10
cwe_id,CWE-1104,misconfig,10
tag,rce,rce,50
tag,code-injection,rce,50
tag,command-injection,rce,50
tag,ssti,rce,50
tag,deserialization,deserialization,50
tag,sqli,sqli,50
tag,sql-injection,sqli,50
tag,xss,xss,50
tag,cross-site-scripting,xss,50
tag,dom-xss,xss,50
tag,csrf,csrf,50
tag,xsrf,csrf,50
tag,ssrf,ssrf,50
tag,xxe,ssrf,60
tag,auth-bypass,auth_bypass,50
tag,authbypass,auth_bypass,50
tag,unauth,auth_bypass,55
tag,default-login,auth_bypass,50
tag,brute-force,auth_bypass,60
tag,weak-password,auth_bypass,55
tag,lfi,path_traversal,50
tag,rfi,path_traversal,50
tag,traversal,path_traversal,50
tag,path-traversal,path_traversal,50
tag,file-download,path_traversal,60
tag,fileupload,file_upload,50
tag,file-upload,file_upload,50
tag,arbitrary-file-upload,file_upload,50
tag,redirect,open_redirect,55
tag,open-redirect,open_redirect,50
tag,disclosure,info_disclosure,50
tag,exposure,info_disclosure,50
tag,info-leak,info_disclosure,50
tag,fpd,info_disclosure,55
tag,listing,info_disclosure,60
tag,logs,info_disclosure,65
tag,idor,access_control,50
tag,privilege-escalation,access_control,50
tag,privesc,access_control,50
tag,authz,access_control,55
tag,misconfig,misconfig,50
tag,misconfiguration,misconfig,50
tag,default-page,misconfig,60
tag,debug,misconfig,60
tag,config,misconfig,70
tag,injection,other,80
tag,tech,other,90
tag,detect,other,90
tag,panel,other,90
tag,login,other,90
template_prefix,wordpress-,other,95
