item_code,item_code_raw,item_name,category,section,severity_guide,check_content,check_purpose,security_threat,reference_note,target,criteria_safe,criteria_vuln,remediation,impact,detail,reference,page_start,page_end,guide_version
U-01,U-01,root 계정 원격 접속 제한,UNIX 서버,UNIX > 1. 계정 관리,상,시스템 정책에 root 계정의 원격터미널 접속 차단 설정이 적용 여부 점검,"관리자 계정 탈취로 인한 시스템 장악을 방지하기 위해 외부 비인가자의 root 계정 접근 시도를
원천적으로 차단하기 위함","root 계정은 운영체제의 모든 기능을 설정 및 변경이 가능하여(프로세스, 커널 변경 등) root 계정을
탈취하여 외부에서 원격을 이용한 시스템 장악 및 각종 공격으로(무차별 대입 공격, 사전 대입 공격 등)
인한 root 계정 사용 불가 위험이 존재함","※ root 계정: 여러 사용자가 사용하는 컴퓨터에서 모든 기능을 관리할 수 있는 총괄 권한을 가진 유일
한 특별 계정. 유닉스 시스템의 루트(root)는 시스템 관리자인 운용 관리자(Super User)로서 윈도
우의 Administrator보다 높은 System 계정에 해당하며, 사용자 계정을 생성하거나 소프트웨어를
설치하고, 환경 및 설정을 변경하거나 시스템의 동작을 감시 및 제어할 수 있음
※ 무차별 대입 공격(Brute Force Attack): 특정한 암호를 풀기 위해 가능한 모든 값을 대입하는 공격
방법
※ 사전 대입 공격(Dictionary Attack): 사전에 있는 단어를 입력하여 암호를 알아내거나 암호를
해독하는 데 사용되는 컴퓨터 공격 방법
※ tty(terminal-teletype): 서버와 연결된 모니터, 키보드 등을 통해 사용자가 콘솔로 직접 로그인함
※ pts(pseudo-terminal): 가상터미널을 뜻하며, Telnet, SSH 등을 이용하여 접속함","SOLARIS, LINUX, AIX, HP-UX 등","원격터미널 서비스를 사용하지 않거나, 사용 시 root 직접 접속을 차단한 경우",원격터미널 서비스 사용 시 root 직접 접속을 허용한 경우,원격 접속 시 root 계정으로 접속할 수 없도록 파일 내용 설정,일반적인 경우 영향 없음,,,12,14,2026
U-02,U-02,비밀번호 관리정책 설정,UNIX 서버,UNIX > 1. 계정 관리,상,비밀번호 관리 정책 설정 여부 점검,사용자의 비밀번호 복잡성과 주기적 변경을 통해 시스템 보안을 강화하기 위함,"비밀번호 관련 정책이 설정되지 않을 경우, 비인가자의 각종 공격(무차별 대입 공격, 사전 대입 공격
등)에 의해 비밀번호가 노출될 위험이 존재함","※ 비밀번호 관리 정책: 비밀번호 복잡성 및 길이, 변경 주기 등을 포함한 비밀번호 정책
※ 비밀번호 복잡성: 비밀번호 설정 시 영문, 숫자, 특수문자를 포함하여 최소 8자리 이상","SOLARIS, LINUX, AIX, HP-UX 등",비밀번호 관리 정책이 설정된 경우,비밀번호 관리 정책이 설정되지 않은 경우,"root 계정을 포함한 사용자 계정의 비밀번호를 영문, 숫자, 특수문자를 포함하여 최소 8자리 이상 및
최소 사용 기간 1일, 최대 사용 기간 90일, 최근 비밀번호 기억 4회 이상으로 설정","비밀번호 변경 시 Web, WAS, DB 연동 구간에서 문제가 발생할 수 있으므로 연동 구간에 미칠 수 있는
영향을 고려하여 적용 필요",,,15,20,2026
U-03,U-03,계정 잠금 임계값 설정,UNIX 서버,UNIX > 1. 계정 관리,상,사용자 계정 로그인 실패 시 계정 잠금 임계값이 설정 여부 점검,"계정 탈취 목적의 무차별 대입 공격 시 해당 계정을 잠금으로써 인증 요청에 응답하는 리소스 낭비를
차단하고 대입 공격으로 인한 비밀번호 노출 공격을 무력화하기 위함","계정 잠금 임계값이 설정되어 있지 않을 경우, 비밀번호 탈취 공격(무차별 대입 공격, 사전 대입 공격,
추측 공격 등)의 인증 요청에 대해 설정된 비밀번호가 일치할 때까지 지속적으로 응답하여 해당 계정의
비밀번호가 유출될 위험이 존재함","※ 사용자 로그인 실패 임계값: 시스템에 로그인 시 몇 번의 로그인 실패에 로그인을 차단할 것인지
결정하는 값","SOLARIS, LINUX, AIX, HP-UX 등",계정 잠금 임계값이 10회 이하의 값으로 설정된 경우,"계정 잠금 임계값이 설정되어 있지 않거나, 10회 이하의 값으로 설정되지 않은 경우",계정 잠금 임계값을 10회 이하로 설정,"Ÿ HP-UX: Trusted Mode로 전환 시 파일 시스템 구조가 변경되어 운영 중인 서비스에 문제가 발생할
수 있으므로 충분한 테스트를 거친 후 Trusted Mode로의 전환이 필요함
Ÿ LINUX: /etc/pam.d/system-auth 파일 설정 시 라이브러리(/lib/security/pam_tally.so)가 해당
경로에 존재하는지 확인 필요 (존재하지 않는 파일의 경로로 설정하는 경우 시스템 로그인에 장애가
발생할 수 있음)
Ÿ PAM 모듈을 이용하여 설정할 때 해당 순서를 지키지 않을 경우, 로그인 실패 또는 인증 실패 등
예기치 못한 상황이 발생할 수 있으므로 반드시 순서에 맞게 설정해야 함",,,21,24,2026
U-04,U-04,비밀번호 파일 보호,UNIX 서버,UNIX > 1. 계정 관리,상,"시스템의 사용자 계정(root, 일반 사용자) 정보가 저장된 파일(/etc/passwd, /etc/shadow 등)에
사용자 계정 비밀번호가 암호화 저장 여부 점검","일부 오래된 시스템의 경우 /etc/passwd 파일에 비밀번호가 평문으로 저장되므로 사용자 계정
비밀번호가 암호화되어 저장되어 있는지 점검하여 비인가자의 비밀번호 파일 접근 시에도 사용자 계정
비밀번호가 안전하게 관리되고 있는지 확인하기 위함","사용자 계정 비밀번호가 저장된 파일이 유출 또는 탈취 시 평문으로 저장된 비밀번호 정보가 노출 위험이
존재함","※ pwconv: 쉐도우 비밀번호 정책
※ pwunconv: 일반 비밀번호 정책","SOLARIS, LINUX, AIX, HP-UX 등","쉐도우 비밀번호를 사용하거나, 비밀번호를 암호화하여 저장하는 경우","쉐도우 비밀번호를 사용하지 않고, 비밀번호를 암호화하여 저장하지 않는 경우",비밀번호 암호화 저장·관리 설정,"HP-UX 경우 Trusted Mode로 전환 시 파일 시스템 구조가 변경되어 운영 중인 서비스에 문제가
발생할 수 있으므로 충분한 테스트를 거친 후 Trusted Mode로의 전환이 필요함",,,25,26,2026
U-05,U-05,root 이외의 UID가 ‘0’ 금지,UNIX 서버,UNIX > 1. 계정 관리,상,"사용자 계정 정보가 저장된 파일(/etc/passwd, /etc/shadow 등)에 root(UID=0) 계정과 동일한
UID를 가진 계정이 존재 여부 점검","root 계정과 동일한 UID가 존재하는지 점검하여 root 권한이 일반 사용자 계정이나 비인가자의 접근
위협에 안전하게 보호되고 있는지 확인하기 위함","Ÿ root 계정과 동일한 UID가 설정되어 있는 일반 사용자 계정도 root 권한을 부여받아 관리자가 실행할
수 있는 모든 작업이 가능한 위험이 존재함(서비스 시작, 중지, 재부팅, root 권한 파일 편집 등)
Ÿ root 계정과 동일한 UID를 사용하므로 사용자 감사 추적 시 어려움 발생 위험이 존재함","※ UID(User Identification): 여러 명의 사용자가 동시에 사용하는 시스템에서 사용자가 자신을
대표하기 위해 쓰는 이름
※ OS마다 UID 체계가 달라 시스템 계정 및 일반 사용자 계정이 부여받는 값의 범위에 차이가 있으나,
관리자는 공통으로 UID=0을 부여받음","SOLARIS, LINUX, AIX, HP-UX 등",root 계정과 동일한 UID를 갖는 계정이 존재하지 않는 경우,root 계정과 동일한 UID를 갖는 계정이 존재하는 경우,"Ÿ UID가 0으로 설정된 계정을 0 이외의 중복되지 않은 UID로 변경 또는 불필요한 계정인 경우
제거하도록 설정
Ÿ (사용 중인 계정인 경우 명령어를 통한 조치가 적용되지 않을 수 있으므로 /etc/passwd 파일을 통해
변경)",해당 계정에 관리자 권한이 필요하지 않으면 일반적으로 영향 없음,,,27,28,2026
U-06,U-06,사용자 계정 su 기능 제한,UNIX 서버,UNIX > 1. 계정 관리,상,su 명령어 사용을 허용하는 사용자를 지정한 그룹이 설정 여부 점검,"su 관련 그룹만 su 명령어 사용 권한이 부여되어 있는지 점검하여 su 그룹에 포함되지 않은 일반
사용자의 su 명령 사용을 원천적으로 차단하는지 확인하기 위함","무분별한 사용자 변경으로 타 사용자 소유의 파일을 변경할 수 있으며 root 계정으로 변경하는 경우
관리자 권한을 획득할 수 있는 위험이 존재함",-,"SOLARIS, LINUX, AIX, HP-UX 등",su 명령어를 특정 그룹에 속한 사용자만 사용하도록 제한된 경우 ※ 일반 사용자 계정 없이 root 계정만 사용하는 경우 su 명령어 사용 제한 불필요,su 명령어를 모든 사용자가 사용하도록 설정된 경우,PAM 모듈 설정 또는 su 명령어 허용 그룹 생성 후 su 명령어 일반 사용자 권한 제거하도록 설정,그룹에 추가된 계정들은 모든 Session 종료 후 재 로그인 시 su 명령어 사용 가능,,,29,30,2026
U-07,U-07,불필요한 계정 제거,UNIX 서버,UNIX > 1. 계정 관리,하,"시스템 계정 중 불필요한 계정(퇴직, 전직, 휴직 등의 이유로 사용하지 않는 계정 및 장기적으로 사용하지
않는 계정 등)이 존재 여부 점검",불필요한 계정이 존재하는지 점검하여 관리되지 않은 계정에 의한 침입에 대비하는지 확인하기 위함,"로그인이 가능하고 현재 사용하지 않는 불필요한 계정은 사용 중인 계정보다 상대적으로 관리가
취약하여 공격자의 목표가 되어 계정이 탈취될 수 있는 위험이 존재함(퇴직, 전직, 휴직 등의 사유 발생
시 즉시 권한을 회수하는 것을 권고함)","※ 기본 계정: OS나 Package 설치 시 기본적으로 생성되는 계정(lp, uucp, nuucp 등)
※ 불필요한 기본 계정 제거 시 발생할 업무 영향도를 파악한 후 제거 권고","SOLARIS, LINUX, AIX, HP-UX 등",불필요한 계정이 존재하지 않는 경우,불필요한 계정이 존재하는 경우,시스템에 존재하는 계정 확인 후 불필요한 계정 제거하도록 설정,일반적인 경우 영향 없음,,,31,31,2026
U-08,U-08,관리자 그룹에 최소한의 계정 포함,UNIX 서버,UNIX > 1. 계정 관리,중,시스템 관리자 그룹에 최소한(root 계정과 시스템 관리에 허용된 계정)의 계정만 존재 여부 점검,관리자 그룹에 최소한의 필요 계정만 존재하는지 확인하여 불필요한 권한 남용을 점검하기 위함,"시스템을 관리하는 root 계정이 속한 그룹은 시스템 운영 파일에 대한 접근 권한이 부여되어 있으므로
해당 관리자 그룹에 속한 계정이 비인가자에게 유출될 경우, 관리자 권한으로 시스템에 접근하여
계정정보 유출, 환경설정 파일 및 디렉터리 변조 등의 위험이 존재함",-,"SOLARIS, LINUX, AIX, HP-UX 등",관리자 그룹에 불필요한 계정이 등록되어 있지 않은 경우,관리자 그룹에 불필요한 계정이 등록된 경우,관리자 그룹에 등록된 계정 확인 후 불필요한 계정 제거하도록 설정,일반적인 경우 영향 없음,,,32,32,2026
U-09,U-09,계정이 존재하지 않는 GID 금지,UNIX 서버,UNIX > 1. 계정 관리,하,그룹 설정 파일(/etc/group)에 불필요한 그룹이 존재 여부 점검,"시스템에 불필요한 그룹이 존재하는지 점검하여 불필요한 그룹의 소유권으로 설정된 파일의 노출로 인해
발생할 수 있는 위험에 대해 대비를 하기 위함","계정이 존재하지 않거나 불필요한 그룹이 존재하는 경우, 해당 그룹의 소유로 설정된 파일을 통한 권한
남용 또는 의도치 않은 권한 부여, 보안 감사 및 관리의 어려움 등의 위험이 존재함","※ GID(Group Identification): 다수의 사용자가 특정 개체를 공유할 수 있게 연계시키는 특정 그룹의
이름으로 주로 계정처리 목적으로 사용되며, 한 사용자는 여러 개의 GID를 가질 수 있음","SOLARIS, LINUX, AIX, HP-UX 등",시스템 관리나 운용에 불필요한 그룹이 제거된 경우,시스템 관리나 운용에 불필요한 그룹이 존재하는 경우,"불필요한 그룹이 존재하는 경우 관리자와 검토하여 제거하도록 설정
※ /etc/group 파일과 /etc/passwd 파일을 비교하여 점검하기를 권고함",일반적인 경우 영향 없음,,,33,33,2026
U-10,U-10,동일한 UID 금지,UNIX 서버,UNIX > 1. 계정 관리,중,/etc/passwd 파일 내 UID가 동일한 사용자 계정 존재 여부 점검,"UID가 동일한 사용자 계정을 점검함으로써 타 사용자 계정 소유의 파일 및 디렉터리로의 악의적 접근
예방 및 침해사고 시 명확한 감사 추적을 하기 위함","중복된 UID가 존재할 경우, 시스템은 동일한 사용자로 인식하여 소유자의 권한이 중복되어 불필요한
권한이 부여되며 시스템 로그를 이용한 감사 추적 시 사용자가 구분되지 않는 위험이 존재함",※ 비밀번호 파일 수정 변경 및 신규 사용자 추가 시 UID가 동일한 계정이 존재하는지 확인해야 함,"SOLARIS, LINUX, AIX, HP-UX 등",동일한 UID로 설정된 사용자 계정이 존재하지 않는 경우,동일한 UID로 설정된 사용자 계정이 존재하는 경우,동일한 UID를 가진 사용자 계정의 UID를 중복되지 않도록 변경하도록 설정,"운영 목적으로 동일한 UID 값을 부여하였다면 해당 계정이 사용하고 있는 파일 및 디렉터리를 검토하여
권한이 제거되어도 서비스 영향이 없는지 확인 필요",,,34,34,2026
